Job_title,Link,Company_name,Location&Area,Date,Classification&Subclassification,Salary
Office Admin Assistant (10hrs per week),https://www.seek.co.nz/job/50597141?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,UIV Limited - Premier Insulation North Central,location: Auckland area: Manukau & East Auckland,"8d ago,at",,$20 per hour
Office Administrator,https://www.seek.co.nz/job/50632818?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Wraight and Associates Ltd.,location: Wellington area: Wellington Central,"3d ago,at",Administration & Office Support subClassification: Office Management,
Office Administrator,https://www.seek.co.nz/job/50632185?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Morgan & Pollard Landscapes Ltd,location: Canterbury area: Rest of Canterbury,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Customer Service Officer,https://www.seek.co.nz/job/50614282?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,CM Trailer Parts,location: Canterbury area: Timaru & South Canterbury,"5d ago,at",Administration & Office Support subClassification: Client & Sales Administration,
Administration Assistant - Mt Wellington,https://www.seek.co.nz/job/50638817?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Harvey Norman,location: Auckland area: Auckland Central,"4h ago,at",Administration & Office Support subClassification: Administrative Assistants,
Part-time Health & Disability Administrative Assistant,https://www.seek.co.nz/job/50610748?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,LIFEWISE,location: Auckland area: Auckland Central,"6d ago,at",,$20 - $24.99 per hour
"Office Coordinator, Whangarei Youth Space",https://www.seek.co.nz/job/50633756?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,Whangarei Youth Space,location: Northland area: Whangarei,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administrator,https://www.seek.co.nz/job/50604829?type=standard#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,,location: Manawatu area: Rest of Manawatu,"7d ago,at,Private Advertiser",Administration & Office Support subClassification: Other,
Administration Officer - Part Time,https://www.seek.co.nz/job/50637525?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,HiFlo Pumps Ltd,location: Auckland area: Auckland Central,"2d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Part-time Admin/Accounts Person,https://www.seek.co.nz/job/50631111?type=standout#searchRequestToken=feee129e-c80f-4f79-ac5f-98ddb6d6c22b,People Passion,location: Auckland area: Papakura & Franklin,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Business Support Administrator,https://www.seek.co.nz/job/50591178?type=promoted#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,S&L Land Development and Design Specialists,location: Bay of Plenty area: Tauranga,"Featured,at",Administration & Office Support subClassification: Administrative Assistants,
Reception/Administrator,https://www.seek.co.nz/job/50556340?type=promoted#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Fishing and Leisure Group Limited,location: Auckland area: Rodney & North Shore,"Featured,at",,$19 to $22 per hour
Office Co-Ordinator,https://www.seek.co.nz/job/50632905?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Paeroa Farm Services Ltd,location: Waikato area: Rest of Waikato,"3d ago,at",Administration & Office Support subClassification: Office Management,
Office Administrator,https://www.seek.co.nz/job/50621389?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Brant Homes Limited,location: Auckland area: Manukau & East Auckland,"4d ago,at",,$20 - $24.99 per hour
Administration & Customer Service,https://www.seek.co.nz/job/50637747?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,ACE,location: Auckland area: Auckland Central,"2d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administrator,https://www.seek.co.nz/job/50631960?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,EnviroWaste Services Limited,location: Canterbury area: Christchurch,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
RECEPTIONIST / ADMINISTRATOR,https://www.seek.co.nz/job/50636107?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,PROGRESSIVE MEATS LIMITED,location: Hawkes Bay area: Hastings,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administrator - Street to Home,https://www.seek.co.nz/job/50638937?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Auckland City Mission,location: Auckland area: Auckland Central,"4h ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administrative Support,https://www.seek.co.nz/job/50606027?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Commercial and Rural Insurance Brokers,location: Otago area: Queenstown & Wanaka,"6d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Medical Receptionist,https://www.seek.co.nz/job/50633231?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Brooklyn Medical Centre,location: Wellington area: Wellington Central,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Receptionist / Office Administration,https://www.seek.co.nz/job/50620963?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,foley group architecture,location: Canterbury area: Christchurch,"4d ago,at",Administration & Office Support subClassification: Receptionists,
People and Culture Administrator,https://www.seek.co.nz/job/50617769?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,OceanaGold (New Zealand) Ltd,location: Otago area: Rest of Otago,"5d ago,at",Administration & Office Support subClassification: Client & Sales Administration,
Senior Support Officer,https://www.seek.co.nz/job/50628770?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,WorkSafe New Zealand,location: Wellington area: Wellington Central,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administrator,https://www.seek.co.nz/job/50613404?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Wise Group,location: Waikato area: Hamilton,"5d ago,at",Administration & Office Support subClassification: Administrative Assistants,
office administrator,https://www.seek.co.nz/job/50621878?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Best Mates Pet Food,location: Waikato area: Rest of Waikato,"4d ago,at",,$20 - $24.99 per hour
Provider Registration Administrator - Lower Hutt,https://www.seek.co.nz/job/50638763?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,ACC,location: Wellington area: Hutt Valley,"5h ago,at",Administration & Office Support subClassification: Administrative Assistants,
Receptionist / Admin Support,https://www.seek.co.nz/job/50621050?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,STOP Services,location: Canterbury area: Christchurch,"4d ago,at",Administration & Office Support subClassification: Receptionists,
Colliers Rural - Office Administrator (Part time),https://www.seek.co.nz/job/50615101?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Private Group,location: Bay of Plenty area: Rotorua,"5d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Part Time Administrator,https://www.seek.co.nz/job/50628924?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Heyden Farms Ltd,location: Waikato area: Rest of Waikato,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Operations Administrator,https://www.seek.co.nz/job/50631460?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Port Taranaki Limited,location: Taranaki area: New Plymouth,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Receptionist / Accounts Administrator,https://www.seek.co.nz/job/50638893?type=standard#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,Robertson Motor Group,location: Manawatu area: Palmerston North,"4h ago,at",,"$40,000 - $49,999"
Office Administrators,https://www.seek.co.nz/job/50628972?type=standout#searchRequestToken=d16e02a9-8271-468a-abe3-04a22564a452,SOLGM,location: Wellington area: Wellington Central,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Accounts and Office Assistant,https://www.seek.co.nz/job/50564208?type=promoted#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Geeks on Wheels,location: Wellington area: Wellington Central,"Featured,at",Administration & Office Support subClassification: Administrative Assistants,
Administrator/Secretarial Support,https://www.seek.co.nz/job/50529232?type=promoted#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,The Heart Group,location: Auckland area: Auckland Central,"Featured,at",Administration & Office Support subClassification: PA EA & Secretarial,
Supporter Care & Database Administrator,https://www.seek.co.nz/job/50623039?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,SPCA,location: Auckland area: Waitakere & West Auckland,"4d ago,at",Administration & Office Support subClassification: Data Entry & Word Processing,
Personal Assistant/Administrator,https://www.seek.co.nz/job/50638815?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Department of Conservation,location: Wellington area: Wellington Central,"4h ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administrative and Organisational Superstar,https://www.seek.co.nz/job/50633998?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Grit Engineering Ltd,location: Northland area: Whangarei,"3d ago,at",,$25 per hour
Office Assistant,https://www.seek.co.nz/job/50623434?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,NetYourJob,location: Canterbury area: Timaru & South Canterbury,"4d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administrator (including School Bus Co-ordinator),https://www.seek.co.nz/job/50630931?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Saint Kentigern Trust,location: Auckland area: Manukau & East Auckland,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Office Administrator,https://www.seek.co.nz/job/50597891?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Fourth Element,location: Hawkes Bay area: Hastings,"7d ago,at",Administration & Office Support subClassification: Office Management,
Administration Specialist,https://www.seek.co.nz/job/50610033?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,"GJ Gardner Homes, Waikato",location: Waikato area: Hamilton,"6d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administration Officer,https://www.seek.co.nz/job/50602547?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Stauff Corporation Pty Ltd,location: Auckland area: Manukau & East Auckland,"7d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Business Support Officer,https://www.seek.co.nz/job/50606822?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Wellington City Council,location: Wellington area: Wellington Central,"6d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Customer Services and Administration Officer,https://www.seek.co.nz/job/50606374?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Taranaki Regional Council,location: Taranaki area: Rest of Taranaki,"6d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Clinical Administrator (Job Share),https://www.seek.co.nz/job/50631149?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Te Omanga Hospice,location: Wellington area: Hutt Valley,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Office / Client Administrator,https://www.seek.co.nz/job/50605173?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Perpetual Guardian,location: Waikato area: HamiltonHamilton Includes life and health insurance,"6d ago,at",Includes life and health insurance,
Office / Administration Manager,https://www.seek.co.nz/job/50613327?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,location: Bay of Plenty area: TaurangaTauranga 000 - 000 per annum,"5d ago,at",000 - 000 per annum,$60 | $70
FULL TIME RECEPTIONIST/ADMINISTRATOR,https://www.seek.co.nz/job/50617901?type=standard#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Professionals Real Estate - Papatoetoe,location: Auckland area: Manukau & East Auckland,"5d ago,at",,$20.00 per hour
Administrator,https://www.seek.co.nz/job/50582301?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,,location: Bay of Plenty area: Tauranga,"11d ago,at,Private Advertiser",Administration & Office Support subClassification: Office Management,
Administration Support - Health (Contract),https://www.seek.co.nz/job/50616292?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Serco Asia Pacific,location: Auckland area: Manukau & East Auckland,"5d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Accounts Administrator,https://www.seek.co.nz/job/50631687?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Landmark Homes Taranaki,location: Taranaki area: New Plymouth,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Office / Client Administrator,https://www.seek.co.nz/job/50597000?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Perpetual Guardian,location: Auckland area: Auckland CentralAuckland Central Includes life and health insurance,"8d ago,at",Includes life and health insurance,
ADMINISTRATION SPECIALIST - CONSTRUCTION,https://www.seek.co.nz/job/50638765?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,,location: Auckland area: Rodney & North Shore,"5h ago,at,Private Advertiser",Administration & Office Support subClassification: Administrative Assistants,
Receptionist,https://www.seek.co.nz/job/50632280?type=standout#searchRequestToken=3aa68777-3165-4e73-98ef-bae1b5e67bc7,Deloitte - NZ,location: Otago area: Dunedin,"3d ago,at",Administration & Office Support subClassification: Receptionists,
Office Administrator / Kiripaepae,https://www.seek.co.nz/job/50597146?type=promoted#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Te Runanga of Ngati Whakaue ki Maketu,location: Bay of Plenty area: Rest of Bay of Plenty,"Featured,at",,$20 - $24.99 per hour
Administrator,https://www.seek.co.nz/job/50582301?type=promoted#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,,location: Bay of Plenty area: Tauranga,"Featured,at,Private Advertiser",Administration & Office Support subClassification: Office Management,
Information and Sustainable Transport Assistant,https://www.seek.co.nz/job/50613258?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Marlborough District Council,location: Marlborough area: Blenheim,"5d ago,at",Administration & Office Support subClassification: Data Entry & Word Processing,
Team Member Customer Service,https://www.seek.co.nz/job/50629895?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Bunnings,location: Auckland area: Rodney & North Shore,"3d ago,at",Administration & Office Support subClassification: Receptionists,
Office Administrator- Flexible Fixed-Term,https://www.seek.co.nz/job/50605913?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Livewire HR Limited,location: Waikato area: Hamilton,"6d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administrator,https://www.seek.co.nz/job/50607763?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,,location: Auckland area: Rodney & North Shore,"6d ago,at,Private Advertiser",Administration & Office Support subClassification: Other,
Service Delivery Administrator-Wiri,https://www.seek.co.nz/job/50599778?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Royal New Zealand Plunket Trust,location: Auckland area: Manukau & East Auckland,"7d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Office Assistant,https://www.seek.co.nz/job/50629874?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Adecco Office,location: Auckland area: Manukau & East Auckland,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administration Manager,https://www.seek.co.nz/job/50625535?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,IHC,location: Bay of Plenty area: Rotorua,"4d ago,at",Administration & Office Support subClassification: Office Management,
Personal Assistant & Office Manager,https://www.seek.co.nz/job/50631694?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Widespan South Island 2015 Ltd,location: Canterbury area: Christchurch,"3d ago,at",,"$55,000 - $69,999"
Customer Care Administrator,https://www.seek.co.nz/job/50456853?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Harvey Furnishings,location: Auckland area: Auckland Central,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Office Administrator/ Receptionist,https://www.seek.co.nz/job/50607720?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Aztec Finance,location: Wellington area: Wellington CentralWellington Central .,"6d ago,at",.,$20.00 per hour
Office Administrator,https://www.seek.co.nz/job/50607500?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Cavanagh & Associates Ltd,location: Auckland area: Papakura & Franklin,"6d ago,at",,$20 - $24.99 per hour
Casual Administrator,https://www.seek.co.nz/job/50613331?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Auckland District Health Board,location: Auckland area: Auckland Central,"5d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Customer Services Officer,https://www.seek.co.nz/job/50614001?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Elite School of Beauty and Spa,location: Auckland area: Auckland Central,"5d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Remote receptionist / Front of Hours / Accounts clerk,https://www.seek.co.nz/job/50631407?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Swimsation Swim Schools,location: Auckland area: Manukau & East Auckland,"3d ago,at",,$21 per hour
Development Contributions Assessment Officer,https://www.seek.co.nz/job/50629996?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Hamilton City Council,location: Waikato area: Hamilton,"3d ago,at",,"$55,000 - $64,999"
Customer Services,https://www.seek.co.nz/job/50622331?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Hobsonville Marina,location: Auckland area: Waitakere & West Auckland,"4d ago,at",Administration & Office Support subClassification: Client & Sales Administration,
Administrator/Booking  Clerk -  Cardiothoracic,https://www.seek.co.nz/job/50607526?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Waikato District Health Board,location: Waikato area: Hamilton,"6d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Senior Administration Officer,https://www.seek.co.nz/job/50614537?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,CAA/Avsec,location: Wellington area: Wellington Central,"5d ago,at",Administration & Office Support subClassification: Other,
Office Administrator (3 Months),https://www.seek.co.nz/job/50625380?type=standout#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Not Socks Gifts Ltd,location: Canterbury area: Christchurch,"4d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Administrator/Receptionist,https://www.seek.co.nz/job/50599184?type=standard#searchRequestToken=eb938759-ed49-4d89-87cd-0a2dda71e896,Waikato District Health Board,location: Waikato area: Thames & Coromandel,"7d ago,at",Administration & Office Support subClassification: Receptionists,
Administrator,https://www.seek.co.nz/job/50515557?type=promoted#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Anywhere International Group,location: Auckland area: Auckland Central,"Featured,at",Administration & Office Support subClassification: Administrative Assistants,
Office Administrator - Full-time Ellerslie/Mt Wellington,https://www.seek.co.nz/job/50602110?type=promoted#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Pool Magic Ltd,location: Auckland area: Auckland CentralAuckland Central plus benefits,"Featured,at",plus benefits,"$50,000 - $55,000"
Bilingual Office Administrator,https://www.seek.co.nz/job/50602178?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Vistalite South Auckland,location: Auckland area: Manukau & East Auckland,"7d ago,at",Administration & Office Support subClassification: Administrative Assistants,
"Administrator, Intelligence & Reporting",https://www.seek.co.nz/job/50639360?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Environmental Protection Authority (EPA),location: Wellington area: Wellington Central,"2h ago,at",Administration & Office Support subClassification: Administrative Assistants,
Receptionist,https://www.seek.co.nz/job/50613682?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Ryman Healthcare,location: Otago area: Dunedin,"5d ago,at",Administration & Office Support subClassification: Receptionists,
Receptionist,https://www.seek.co.nz/job/50613649?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Ryman Healthcare,location: Otago area: Dunedin,"5d ago,at",Administration & Office Support subClassification: Receptionists,
Client Assistant / Administrator,https://www.seek.co.nz/job/50605343?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Perpetual Guardian,location: Manawatu area: Palmerston NorthPalmerston North incl Life & Health Insurance,"6d ago,at",incl Life & Health Insurance,
Export Admin Support,https://www.seek.co.nz/job/50583111?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,,location: Hawkes Bay area: Hastings,"11d ago,at,Private Advertiser",Administration & Office Support subClassification: Administrative Assistants,
Contract Administrator / Reception,https://www.seek.co.nz/job/50624551?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Rodney West Residential Limited,location: Auckland area: Rodney & North Shore,"4d ago,at",Administration & Office Support subClassification: Contracts Administration,
Administration,https://www.seek.co.nz/job/50613350?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,First AML,location: Auckland area: Auckland Central,"5d ago,at",,"$45,000 - $49,999"
Personal Assistant,https://www.seek.co.nz/job/50631495?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Environmental Protection Authority (EPA),location: Wellington area: Wellington Central,"3d ago,at",Administration & Office Support subClassification: PA EA & Secretarial,
Administration Manager,https://www.seek.co.nz/job/50591139?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Right Recruit,location: Auckland area: Rodney & North Shore,"10d ago,at",Administration & Office Support subClassification: Office Management,
Client Care / Reception,https://www.seek.co.nz/job/50631933?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Vetora,location: Waikato area: Rest of Waikato,"3d ago,at",Administration & Office Support subClassification: Receptionists,
Administrator / Marketing Support,https://www.seek.co.nz/job/50631418?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Baker Tilly Staples Rodway HR,location: Taranaki area: New Plymouth,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Personal Assistant,https://www.seek.co.nz/job/50632492?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Cavanagh & Associates Ltd,location: Manawatu area: Palmerston North,"3d ago,at",Administration & Office Support subClassification: PA EA & Secretarial,
Office Administrator / PA,https://www.seek.co.nz/job/50610172?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Forté Recruitment Ltd,location: Wellington area: Wellington CentralWellington Central pro rata,"6d ago,at",pro rata,"$55,000 - $60,000 per annum"
Accounts & Office Admin,https://www.seek.co.nz/job/50598827?type=standard#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Jadcup,location: Auckland area: Manukau & East Auckland,"7d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Operations Support,https://www.seek.co.nz/job/50605356?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Bachcare,location: Auckland area: Auckland Central,"6d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Office / Client Administrator,https://www.seek.co.nz/job/50590951?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Perpetual Guardian,location: Auckland area: Rodney & North ShoreRodney & North Shore Includes life and health insurance,"10d ago,at",Includes life and health insurance,
Receptionist,https://www.seek.co.nz/job/50613726?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Gentle Chiropractic,location: Auckland area: Auckland Central,"5d ago,at",Administration & Office Support subClassification: Receptionists,
Building Support Services Officer,https://www.seek.co.nz/job/50606335?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,New Plymouth District Council,location: Taranaki area: New Plymouth,"6d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Logistics Administrator,https://www.seek.co.nz/job/50632494?type=standout#searchRequestToken=44071084-8339-47ef-b2da-2bd4989a246d,Sharp Corporation of New Zealand Ltd,location: Auckland area: Auckland Central,"3d ago,at",Administration & Office Support subClassification: Administrative Assistants,
Receptionist / Office Administration,https://www.seek.co.nz/job/50620963?type=promoted#searchRequestToken=bf014cf6-2d43-4184-aacf-4d725771e4f2,foley group architecture,location: Canterbury area: Christchurch,"Featured,at",Administration & Office Support subClassification: Receptionists,
